simplified_chinese,traditional_chinese,pinyin,english_meaning,part_of_speech,hsk_level,example_sentence_chinese,example_sentence_pinyin,example_sentence_english
家,"家,傢",jiā,"nhà/gia đình/(lịch sự) của tôi (chị, chú, v.v.)/phân loại cho gia đình hoặc doanh nghiệp/chỉ các trường phái triết học của Trung Quốc thời tiền Hán/hậu tố danh từ cho một chuyên gia trong một số hoạt động, chẳng hạn như nhạc sĩ hoặc nhà cách mạng, tương ứng với tiếng Anh -ist, -er, -ary hoặc -ian/CL:個|个[ge4]",N/M,1,我家有四口人。,Wǒ jiā yǒu sì kǒu rén.,Nhà tôi có bốn người.
家里,家裡,jiā lǐ,trang chủ,,1,,,
家人,家人,jiā rén,thành viên gia đình/người hầu (cũ),N,1,,,
间,間,jiān,khoảng trống/tách ra/làm mỏng đi (cây con)/gieo rắc sự bất mãn,M,1,,,
见面,見面,jiàn miàn,gặp gỡ; nhìn thấy nhau/CL:次[ci4],,1,我们明天见面吧。,Wǒmen míngtiān jiànmiàn ba.,Chúng ta gặp nhau vào ngày mai nhé.
见,見,jiàn,xuất hiện/cũng được viết 現|现[xian4],V,1,,,
叫,"叫,呌",jiào,biến thể của 叫[jiao4],V,1,她叫李娜。,Tā jiào Lǐ Nà.,Cô ấy tên là Lý Na.
教,教,jiào,tôn giáo/giáo lý/làm ra/gây ra/kể lại,V,1,他教我们汉语。,Tā jiāo wǒmen Hànyǔ.,Anh ấy dạy chúng tôi tiếng Trung.
教学楼,教學樓,jiào xué lóu,tòa nhà trường học; tòa nhà học thuật,N,1,,,
介绍,介紹,jiè shào,"giới thiệu (ai đó với ai đó)/trình bày/trình bày (ai đó xin việc, v.v.)/giới thiệu",V,1,请介绍一下你自己。,Qǐng jièshào yīxià nǐ zìjǐ.,Xin hãy giới thiệu về bản thân.
姐姐,姐姐,jiě jiě,chị gái/CL:個|个[ge4],,1,姐姐比我大三岁。,Jiějiě bǐ wǒ dà sān suì.,Chị gái lớn hơn tôi ba tuổi.
进,進,jìn,tiến về phía trước/tiến lên/đi vào/nhập vào/đưa vào/nộp vào/nộp/tiếp nhận/tiếp nhận/(toán học) cơ sở của hệ thống số/phân loại cho các phần trong một tòa nhà hoặc khu dân cư,V,1,请进，别客气。,"Qǐng jìn, bié kèqì.","Mời vào, đừng khách sáo."
进来,進來,jìn lái,để đi vào,,1,,,
今年,今年,jīn nián,năm nay,N,1,,,
进去,進去,jìn qù,đi vào,,1,,,
今天,今天,jīn tiān,hôm nay/thời điểm hiện tại; bây giờ,N,1,今天是星期一。,Jīntiān shì xīngqī yī.,Hôm nay là thứ Hai.
就,就,jiù,(sau một mệnh đề giả định) trong trường hợp đó; sau đó/(sau một mệnh đề hành động) ngay khi; ngay sau/(giống như 就是[jiu4 shi4]) chỉ đơn thuần; không gì khác ngoài; đơn giản; chỉ; chính xác; chính xác/chỉ; ít bằng/nhiều bằng; nhiều bằng/để tiếp cận; di chuyển về phía/để thực hiện; tham gia vào/(thường theo sau bởi 著|着[zhe5]) lợi dụng/(thức ăn) để đi cùng/liên quan đến; liên quan đến/(mẫu: 就[jiu4] ... 也[ye3] ...) ngay cả khi ... vẫn .../(mẫu: 不[bu4] ... 就[jiu4] ...) nếu không ... thì phải là ...,Adv,1,他就住在我家旁边。,Tā jiù zhù zài wǒ jiā pángbiān.,Anh ấy sống ngay cạnh nhà tôi.
九,九,jiǔ,chín/9,Num,1,我有九本书。,Wǒ yǒu jiǔ běn shū.,Tôi có chín quyển sách.
觉得,覺得,jué de,"nghĩ rằng...; cảm thấy rằng.../cảm thấy (khó chịu, v.v.)",V,1,我觉得今天很热。,Wǒ juéde jīntiān hěn rè.,Tôi cảm thấy hôm nay rất nóng.
开,開,kāi,"mở (có thể chuyển tiếp hoặc không thể chuyển tiếp)/(tàu thuyền, xe cộ, quân đội, v.v.) khởi động/bật; đưa vào hoạt động; vận hành; chạy/đun sôi/viết ra (đơn thuốc, séc, hóa đơn, v.v.)/(bổ sung hướng) đi; tắt/carat (vàng)/viết tắt cho Kelvin, 開爾文|开尔文[Kai1 er3 wen2]/viết tắt cho 開本|开本[kai1 ben3], định dạng sách",V,1,我们开车去。,Wǒmen kāichē qù.,Chúng tôi đi bằng ô tô.
开车,開車,kāi chē,lái xe ô tô,,1,,,
开会,開會,kāi huì,tổ chức một cuộc họp/tham dự một cuộc họp,,1,,,
开玩笑,開玩笑,kāi wán xiào,đùa giỡn/làm trò cười/đùa giỡn,,1,他喜欢开玩笑。,Tā xǐhuān kāiwánxiào.,Anh ấy thích đùa giỡn.
看病,看病,kàn bìng,đi khám bác sĩ/khám bệnh nhân,,1,,,
看见,看見,kàn jiàn,nhìn thấy/bắt gặp,,1,我看见你了。,Wǒ kànjiàn nǐ le.,Tôi đã thấy bạn.
看,看,kàn,nhìn thấy; nhìn vào/đọc/xem/ghé thăm; gọi điện/xem xét; coi như/chăm sóc/điều trị (một bệnh nhân hoặc căn bệnh)/phụ thuộc vào/cảm thấy (rằng)/(sau một động từ) thử/để ý,V,1,我喜欢看电影。,Wǒ xǐhuān kàn diànyǐng.,Tôi thích xem phim.
看到,看到,kàn dào,để xem,,1,,,
考,"攷,考",kǎo,kiểm tra/xác minh/thử nghiệm/khảo sát/thi cử/thi tuyển sinh cho/người cha đã khuất,V,1,,,
考试,考試,kǎo shì,để tham dự một kỳ thi/kỳ thi/CL:次[ci4],,1,我准备好考试了。,Wǒ zhǔnbèi hǎo kǎoshì le.,Tôi đã chuẩn bị sẵn sàng cho kỳ thi.
课,課,kè,"môn/khoá/CL:門|门[men2]/lớp/bài/CL:堂[tang2],節|节[jie2]/thuế/thuế/hình thức bói toán",N,1,我们今天有三节课。,Wǒmen jīntiān yǒu sān jié kè.,Hôm nay chúng ta có ba tiết học.
课本,課本,kè běn,sách giáo khoa/CL:本[ben3],N,1,,,
渴,渴,kě,khát,Adj,1,,,
课文,課文,kè wén,text/CL:篇[pian1],N,1,,,
口,口,kǒu,"miệng/phân loại cho những thứ có miệng (người, động vật nuôi, đại bác, giếng, v.v.)/phân loại cho những miếng cắn hoặc miếng nhai",M/N,1,瓶子口上贴着一张纸。,Píngzi kǒu shàng tiē zhe yì zhāng zhǐ.,Trên miệng chai có dán 1 tờ giấy.
快,快,kuài,nhanh/nhanh/tốc độ/tốc độ/sớm/gần như/làm cho vội vàng/thông minh/sắc bén (của dao hoặc trí thông minh)/thẳng thắn/nói thẳng/hài lòng/vui vẻ/dễ chịu,Adj/Adv,1,他跑得很快。,Tā pǎo de hěn kuài.,Anh ấy chạy rất nhanh.
块,塊,kuài,"cục; khối; mảnh/phân loại cho các mảnh vải, bánh, xà phòng, v.v./(coll.) phân loại cho tiền và đơn vị tiền tệ",N/M,1,这个苹果两块钱。,Zhège píngguǒ liǎng kuài qián.,Cái táo này hai tệ.
来,來,lái,"đến/(dùng để thay thế cho một động từ cụ thể hơn)/hither (bổ sung định hướng cho chuyển động về phía người nói, như trong 回來|回来[hui2 lai5])/ever kể từ (như trong 自古以來|自古以来[zi4 gu3 yi3 lai2])/cho quá khứ (lượng thời gian)/(tiền tố) sắp tới ...; tiếp theo ... (như trong 來世|来世[lai2 shi4])/(giữa hai động từ) để/(sau một số tròn) xấp xỉ/(dùng sau 得[de2] để biểu thị khả năng, như trong 談得來|谈得来[tan2 de5 lai2], hoặc sau 不[bu4] để biểu thị sự không thể, như trong吃不來|吃不来[chi1 bu5 lai2])",V,1,明天我来。,Míngtiān wǒ lái.,Ngày mai tôi đến.
来到,來到,lái dào,đến; đến,V,1,,,
老,老,lǎo,"tiền tố được sử dụng trước họ của một người hoặc một chữ số chỉ thứ tự sinh của những đứa trẻ trong một gia đình hoặc để chỉ tình cảm hoặc sự quen thuộc/cũ (của người)/đáng kính (của người)/có kinh nghiệm/lâu năm/luôn luôn/mọi lúc/của quá khứ/rất/lỗi thời/(của thịt, v.v.) dai",Adj,1,他是个老朋友。,Tā shì gè lǎo péngyǒu.,Anh ấy là bạn cũ.
老人,老人,lǎo rén,ông già hoặc bà già/người già/cha mẹ hoặc ông bà lớn tuổi của một người,N,1,,,
老师,老師,lǎo shī,"giáo viên/CL:個|个[ge4],位[wei4]",N,1,我的老师很好。,Wǒ de lǎoshī hěn yǒuhǎo.,Giáo viên của tôi rất thân thiện.
了,"了,瞭",le,biến thể không chính thức của 瞭[liao4],Aux,1,她去了学校。,Tā qùle xuéxiào.,Cô ấy đã đi đến trường.
累,"纍,累",lèi,dây thừng/để buộc lại với nhau/để ​​xoắn xung quanh,Adj,1,我累了，想休息一下。,"Wǒ lèile, xiǎng xiūxí yīxià.","Tôi mệt rồi, muốn nghỉ ngơi một chút."
冷,冷,lěng,lạnh lẽo,Adj,1,外面很冷。,Wàimiàn hěn lěng.,Bên ngoài rất lạnh.
里,"里,裡,裏",lǐ,"li, đơn vị đo chiều dài thời cổ đại, khoảng 500 m/khu phố/đơn vị hành chính thời cổ đại gồm 25 gia đình/(Tw) quận, đơn vị hành chính nằm giữa cấp thị trấn 鎮|镇[zhen4] và khu phố 鄰|邻[lin2]",N,1,我的书在里面。,Wǒ de shū zài lǐmiàn.,Sách của tôi ở bên trong.
里边,裡邊,lǐ biān,bên trong,N,1,,,
两,兩,liǎng,"hai/cả hai/một số/vài lượng, đơn vị đo trọng lượng bằng 50 gam (hiện đại) hoặc 1⁄16 của một cân 斤[jin1] (cũ)",Num,1,我有两个弟弟。,Wǒ yǒu liǎng gè dìdì.,Tôi có hai em trai.
零,零,líng,số không/số không/dấu số không/phân số/mảnh vỡ/lẻ (của các số)/(được đặt giữa hai số để chỉ số lượng nhỏ hơn theo sau là số lượng lớn hơn)/phân số/(trong toán học) số dư (sau khi chia)/thừa/héo mòn và giảm/héo mòn,,1,今天零度。,Jīntiān líng dù.,Hôm nay không độ.
六,六,liù,sáu/6,Num,1,我有六个苹果。,Wǒ yǒu liù ge píngguǒ.,Tôi có sáu quả táo.
楼,樓,lóu,"nhà trên 1 tầng/tòa nhà nhiều tầng/CL:層|层[ceng2],座[zuo4],棟|栋[dong4]",N,1,我们住在三楼。,Wǒmen zhù zài sān lóu.,Chúng tôi sống ở tầng ba.
楼上,樓上,lóu shàng,trên lầu/(tiếng lóng trên Internet) người đăng trước trong một chủ đề diễn đàn,,1,,,
楼下,樓下,lóu xià,tầng dưới,,1,,,
路,路,lù,"đường/CL:條|条[tiao2]/hành trình/tuyến/tuyến (xe buýt, v.v.)/loại; loại",N/M,1,这条路很长。,Zhè tiáo lù hěn cháng.,Con đường này rất dài.
路口,路口,lù kǒu,giao lộ/ngã tư (của các con đường),N,1,,,
路上,路上,lù shàng,trên đường/trên hành trình/mặt đường,N,1,,,
马路,馬路,mǎ lù,đường/đường/CL:條|条[tiao2],N,1,,,
妈妈,媽媽,mā mā,"mẹ/mẹ/mẹ/CL:個|个[ge4],位[wei4]",,1,我的妈妈很漂亮。,Wǒ de māmā hěn piàoliang.,Mẹ của tôi rất xinh đẹp.
吗,嗎,ma,"(trạng từ nghi vấn cho câu hỏi ""có-không"")",Aux,1,你好吗？,Nǐ hǎo ma?,Bạn khỏe không?
马上,馬上,mǎ shàng,ngay lập tức/ngay lập tức/ngay lập tức/trên lưng ngựa (tức là bằng vũ lực quân sự),Adv,1,我马上就来。,Wǒ mǎshàng jiù lái.,Tôi sẽ đến ngay.
买,買,mǎi,mua/mua hàng,V,1,我买了水果。,Wǒ mǎile shuǐguǒ.,Tôi đã mua trái cây.
慢,慢,màn,chậm,Adj,1,他走得很慢。,Tā zǒu de hěn màn.,Anh ấy đi rất chậm.
忙,忙,máng,bận rộn/vội vã/vội vã/vội vã,Adj,1,我今天很忙。,Wǒ jīntiān hěn máng.,Hôm nay tôi rất bận.
毛,毛,máo,"tóc/lông vũ/lông tơ/len/nấm mốc/nấm mốc/thô hoặc bán thành phẩm/trẻ/thô/bất cẩn/thiếu suy nghĩ/lo lắng/sợ hãi/(tiền tệ) làm mất giá hoặc mất giá/phân loại cho đơn vị tiền tệ phân số của Trung Quốc (= 角[jiao3] , = một phần mười của một nhân dân tệ hoặc 10 fen 分[fen1])",M,1,我不喜欢穿毛衣。,Wǒ bù xǐhuān chuān máoyī.,Tôi không thích mặc áo lông.
没关系,沒關係,méi guān xì,nó không quan trọng,,1,下雨了，没关系，我们有伞。,"Xiàyǔ le, méi guānxì, wǒmen yǒu sǎn.","Trời mưa rồi, không sao đâu, chúng ta có ô."
妹妹,妹妹,mèi mèi,em gái/thiếu nữ/CL:個|个[ge4],,1,妹妹在唱歌。,Mèimei zài chànggē.,Em gái đang hát.
没,沒,méi,chết đuối/kết thúc/chết/ngập lụt,Adv/V,1,我没看见他。,Wǒ méi kànjiàn tā.,Tôi không nhìn thấy anh ấy.
没什么,沒什麼,méi shén me,không có gì/không quan trọng/không có gì/không sao cả,,1,,,
没事儿,沒事兒,méi shì ér,có thời gian rảnh/không phải làm việc/không quan trọng/không có gì/không sao cả,,1,,,
没有,沒有,méi yǒu,không/chưa/không tồn tại/không có/không tồn tại,V/Adv,1,,,
门,門,mén,"cổng/cửa/CL:扇[shan4]/cổng/cửa ra vào/CL:個|个[ge4]/mở/van/công tắc/cách làm gì đó/mưu mẹo/gia đình/nhà/giáo phái (tôn giáo)/trường phái (tư tưởng)/lớp/thể loại/ngành hoặc bộ phận (phân loại)/phân loại cho súng lớn/phân loại cho bài học, môn học, ngành công nghệ/(hậu tố) -gate (tức là vụ bê bối; bắt nguồn từ Watergate)",N/M,1,他站在门口。,Tā zhàn zài ménkǒu.,Anh ấy đứng ở cửa.
门口,門口,mén kǒu,ô cửa/cổng/CL:個|个[ge4],N,1,,,
们,們,men,dấu hiệu số nhiều cho đại từ và danh từ chỉ cá nhân,,1,,,
门票,門票,mén piào,"vé (vào rạp hát, rạp chiếu phim, v.v.)",N,1,,,
米饭,米飯,mǐ fàn,cơm (đã nấu chín),N,1,我们吃米饭。,Wǒmen chī mǐfàn.,Chúng tôi ăn cơm.
面包,麵包,miàn bāo,"bánh mì/CL:片[pian4],袋[dai4],塊|块[kuai4]",N,1,我每天早餐都吃面包。,Wǒ měitiān zǎocān dōu chī miànbāo.,Tôi ăn bánh mì vào bữa sáng mỗi ngày.
面条儿,麵條兒,miàn tiáo ér,biến thể đàn nhị của 麵條|面条[mian4 tiao2],N,1,,,
明白,明白,míng bái,rõ ràng/hiển nhiên/không thể nhầm lẫn/hiểu/nhận ra,Adj/V,1,我明白你的意思。,Wǒ míngbái nǐ de yìsi.,Tôi hiểu ý của bạn.
明年,明年,míng nián,năm sau,N,1,,,
明天,明天,míng tiān,Ngày mai,N,1,明天见。,Míngtiān jiàn.,Ngày mai gặp.
名字,名字,míng zì,tên (của một người hoặc vật)/CL:個|个[ge4],N,1,你叫什么名字？,Nǐ jiào shénme míngzì?,Bạn tên là gì?
拿,"㧱,拿,拏",ná,giữ/bắt giữ/bắt giữ/bắt giữ/lấy/(được sử dụng theo cùng cách như 把[ba3]: để đánh dấu danh từ theo sau là tân ngữ trực tiếp),V,1,请你帮我拿一下书。,Qǐng nǐ bāng wǒ ná yīxià shū.,Vui lòng giúp tôi cầm sách một chút.
那边,那邊,nà biān,ở đằng kia/bên kia,Pron,1,,,
那儿,那兒,nà ér,ở đó,Pron,1,,,
哪儿,哪兒,nǎ ér,ở đâu?/bất cứ nơi nào; bất cứ nơi nào; một nơi nào đó/(được sử dụng trong câu hỏi tu từ) làm sao có thể ...?; làm sao có thể ...?,Pron,1,,,
那里,"那裡,那裏",nà lǐ,ở đó; nơi đó,Pron,1,,,
哪里,"哪裡,哪裏",nǎ lǐ,ở đâu?/nơi nào đó/bất cứ nơi nào/không nơi nào (câu trả lời phủ định cho câu hỏi)/biểu hiện khiêm tốn từ chối lời khen,Pron,1,,,
哪,哪,nǎ,"cái nào? (câu hỏi, theo sau là từ phân loại hoặc từ phân loại số)",Pron,1,,,
那,那,nà,(cổ) nhiều/đẹp/cũ/biến thể của 挪[nuo2],Pron,1,那个书包很漂亮。,Nàge shūbāo hěn piàoliang.,Cái cặp sách đó rất đẹp.
那些,那些,nà xiē,những thứ kia,Pron,1,,,
奶,"奶,嬭,妳",nǎi,mẹ/biến thể của 奶[nai3],N,1,,,
奶奶,奶奶,nǎi nǎi,(không trang trọng) bà (bà nội)/bà chủ nhà (kính trọng)/CL:位[wei4]/(coll.) ngực/vú,N,1,我奶奶住在乡下。,Wǒ nǎinai zhù zài xiāngxià.,Bà nội của tôi sống ở quê.
男,男,nán,"nam/Nam tước, thấp nhất trong năm đẳng cấp quý tộc 五等爵位[wu3 deng3 jue2 wei4]",Adj,1,,,
南边,南邊,nán biān,phía nam/phía nam/phần phía nam/phía nam của,N,1,,,
男孩儿,男孩兒,nán hái er,biến thể đàn nhị của 男孩[nan2 hai2],N,1,,,
南,南,nán,phía nam,N,1,我们往南走。,Wǒmen wǎng nán zǒu.,Chúng ta đi về hướng nam.
难,難,nán,thảm họa/đau khổ/mắng mỏ,Adj,1,这个问题很难。,Zhège wèntí hěn nán.,Vấn đề này rất khó.
男朋友,男朋友,nán péng yǒu,bạn trai,N,1,,,
男人,男人,nán rén,một người đàn ông/một người đàn ông/người đàn ông/CL:個|个[ge4],N,1,那个男人很高。,Nàgè nánrén hěn gāo.,Người đàn ông đó rất cao.
男生,男生,nán shēng,học sinh/sinh viên nam/cậu bé/chàng trai (nam thanh niên),N,1,,,
呢,呢,ne,chất liệu len,Aux,1,你呢？,Nǐ ne?,Còn bạn thì sao?
哪些,哪些,něi xiē,những cái nào?/ai?/cái gì?,Pron,1,,,
能,能,néng,có thể/có khả năng/có thể/khả năng/(vật lý) năng lượng,V,1,他能说三种语言。,Tā néng shuō sān zhǒng yǔyán.,Anh ấy có thể nói ba ngôn ngữ.
你,你,nǐ,"bạn (Lưu ý: Ở Đài Loan, 妳 được dùng để xưng hô với phụ nữ, nhưng ở Trung Quốc đại lục, từ này không được sử dụng phổ biến. Thay vào đó, 你 được dùng để xưng hô với cả nam và nữ.)",Pron,1,你叫什么名字？,Nǐ jiào shénme míngzi?,Bạn tên là gì?
你们,你們,nǐ men,bạn (số nhiều),Pron,1,,,
年,"秊,年",nián,ngũ cốc/thu hoạch (cũ)/biến thể của 年[nian2],M,1,我结婚三年了。,Wǒ jiéhūn sān nián le.,Tôi kết hôn 3 năm rồi.
您,您,nín,"bạn (lịch sự, trái ngược với không chính thức 你[ni3])",Pron,1,您好，请进。,"Nín hǎo, qǐng jìn.","Xin chào, mời vào."
牛奶,牛奶,niú nǎi,"sữa bò/CL:瓶[ping2],杯[bei1]",N,1,我每天早上喝牛奶。,Wǒ měitiān zǎoshang hē niúnǎi.,Tôi uống sữa mỗi sáng.
女儿,女兒,nǚ ér,con gái,N,1,她是我的女儿。,Tā shì wǒ de nǚ'ér.,Con bé là con gái của tôi.
女孩儿,女孩兒,nǚ hái ér,biến thể đàn nhị của 女孩[nu:3 hai2],N,1,,,
女,女,nǚ,biến thể cổ xưa của 汝[ru3],Adj,1,,,
女朋友,女朋友,nǚ péng yǒu,bạn gái,N,1,,,
女人,女人,nǚ rén,vợ,N,1,那个女人是我妈妈。,Nàgè nǚrén shì wǒ māma.,Người phụ nữ đó là mẹ tôi.
女生,女生,nǚ shēng,nữ sinh/nữ sinh/cô gái,N,1,,,
旁边,旁邊,páng biān,bên cạnh; nơi liền kề,N,1,学校在我家旁边。,Xuéxiào zài wǒ jiā pángbiān.,Trường học ở cạnh nhà tôi.
跑,跑,pǎo,"chạy/chạy trốn/thoát khỏi/chạy vòng quanh (làm việc vặt, v.v.)/(khí hoặc chất lỏng) rò rỉ hoặc bốc hơi/(bổ sung động từ) đi/tắt",V,1,,,
朋友,朋友,péng yǒu,"bạn/CL:個|个[ge4],位[wei4]",N,1,她的朋友很聪明。,Tā de péngyou hěn cōngmíng.,Bạn của cô ấy rất thông minh.
票,票,piào,"vé/phiếu bầu/tiền giấy/CL:張|张[zhang1]/người bị bắt giữ để đòi tiền chuộc/biểu diễn opera Trung Quốc nghiệp dư/phân loại cho nhóm, đợt, giao dịch kinh doanh",N,1,我买了两张电影票。,Wǒ mǎile liǎng zhāng diànyǐng piào.,Tôi đã mua hai vé xem phim.
起,起,qǐ,"tăng/nâng/dậy/dựng lên/bắt đầu/xuất hiện/phát động/khởi xướng (hành động)/phác thảo/thành lập/lấy (từ kho hoặc quầy)/hậu tố động từ, bắt đầu/bắt đầu từ (thời gian, địa điểm, giá cả, v.v.)/phân loại cho các sự kiện xảy ra hoặc không thể đoán trước: trường hợp, ví dụ/phân loại cho các nhóm: lô, nhóm",V,1,,,
