simplified_chinese,traditional_chinese,pinyin_latin,pinyin_zhuyin,pinyin_vietnamese,level,vietnamese_meaning,chinese_explanation,example_sentence_chinese,example_sentence_pinyin,example_sentence_vietnamese,grammar_pattern,related_compounds,radical_info,stroke_count,stroke_order,popularity
车,姓,chē,ㄔㄜ,xa,3,xe; xe cộ; xa; xe; guồng; cái guồng; máy; máy móc; họ Xa; tiện; gọt; gia công (máy móc); tưới; đạp nước; tưới nước; chuyển động,陆地上有轮子的运输工具【陸地上有輪子的運輸工具】,他的汽车很豪华。【他的汽車很豪華。】,tā de qìchē hěn háohuá.,Ô tô của anh ấy rất sang trọng.,Động từ（开/上/下/停/修 ）+ 车,汽车【汽車】KHÍ XA; 堵车【堵車】ĐỔ XA; 火车【火車】HỎA XA; 开车【開車】KHAI XA,XA 車Số nét: 4,4,一フ一丨,
车上,,chēshang,ㄔㄜㄕㄤˋ,xa thượng,3,trên xe,在车辆内部的空间位置【在車輛內部的空間位置】,车上的座椅很舒适。【車上的座椅很舒適。】,chēshang de zuòyǐ hěn shūshì.,Ghế ngồi trên xe rất thoải mái.,,,XA 車Số nét: 4,4,一フ一丨,
车票,,chēpiào,ㄔㄜㄆㄧㄠˋ,xa phiếu,3,vé xe,乘坐公共交通工具的票,,chēpiào diūle zěnme bàn?,Vé xe mất rồi làm sao đây?,,火车票【火車票】HỎA XA PHIẾU; 快车票【快車票】KHOÁI XA PHIẾU; 停车票【停車票】ĐÌNH XA PHIẾU; 火车票簿【火車票簿】HỎA XA PHIẾU BỘ,XA 車Số nét: 4,4,一フ一丨,
车站,,chēzhàn,ㄔㄜㄓㄢˋ,xa trạm,3,ga; bến xe; trạm xe; nhà ga,陆路交通运输线上设置的停车地点，是上下乘客或装卸货物的场所【陸路交通運輸線上設置的停車地點，是上下乘客或裝卸貨物的場所】,车站就在小区前边。【車站就在小區前邊。】,chēzhàn jiù zài xiǎoqū qiánbian.,Nhà ga ở ngay phía trước tiểu khu.,,火车站【火車站】HỎA XA TRẠM; 汽车站【汽車站】KHÍ XA TRẠM; 公车站【公車站】CÔNG XA TRẠM; 停车站【停車站】ĐÌNH XA TRẠM; 站台【站檯】TRẠM ĐÀI,XA 車Số nét: 4,4,一フ一丨,
吃,吐,chī,ㄔ,cật | ngật,3,"ăn; uống; nhờ; sống nhờ; ăn nhờ ở đậu; ăn; tiêu diệt (dùng trong quân sự,chơi cờ); tốn; mất; tiêu thụ; hao phí; thấm; hút; hấp thu (chất lỏng); chịu; bị; mắc; cam chịu; chịu đựng; tiếp thu; tìm hiểu; ngập; mớn; ăn vào (chỉ một vật thể đi vào một vật thể khác); chấp nhận; đồng ý; ăn hàng; ăn quán; ăn nhà hàng; đồ ăn; bị",把食物等放到嘴里经过咀嚼咽下去 (包括吸、喝)【把食物等放到嘴裡/裏經過咀嚼嚥下去(包括吸、喝)】,我喜欢吃苹果。【我喜歡吃/喫蘋果。】,wǒ xǐhuan chī píngguǒ.,Tớ thích ăn táo.,吃 + 素/荤/辣,吃饭【吃/喫飯】CẬT.NGẬT PHẠN; 吃惊【吃/喫驚】CẬT.NGẬT KINH; 好吃【好吃/喫】HẢO CẬT.NGẬT; 吃亏【吃/喫虧】CẬT.NGẬT KHUY; 吐THỔ,KHẨU 口Số nét: 6,6,丨フ一ノ一フ,
吃饭,用膳,chīfàn,ㄔㄈㄢˋ,ngật phạn,3,ăn; đi ăn; ăn cơm; kiếm sống; sống bằng,进食【進食】,他们靠打猎吃饭。【他們靠打獵吃/喫飯。】,jīntiān wǒ qǐng nǐ chīfàn ba!,Hôm nay tôi mời bạn ăn cơm nhé!,,白吃饭【白吃/喫飯】BẠCH CẬT.NGẬT PHẠN; 吃饭问题【吃/喫飯問題】CẬT.NGẬT PHẠN VẤN ĐỀ; 靠天吃饭【靠天吃/喫飯】KHÁO THIÊN CẬT.NGẬT PHẠN; 看菜吃饭【看菜吃/喫飯】KHÁN THÁI CẬT.NGẬT PHẠN; 绝食【絕食】TUYỆT THỰC,KHẨU 口Số nét: 6,6,丨フ一ノ一フ,
出,往外拿,chū,ㄔㄨ,xuất,3,"ra; xuất; từ trong ra ngoài; đến; tới nơi; có mặt; hơn; vượt; ra ngoài; vượt quá; trội hơn; siêu việt; đưa ra; có; gặp; xảy ra; nảy sinh; phát sinh; nảy; đổ; tiết; phát ra; tiết ra; lộ; nổi; lòi; hiện ra; chi; chi tiêu; chi ra; tiêu ra; xuất bản; ban bố; công bố; rời đi; rời bỏ; li khai; làm ra; sản xuất; đẻ; sinh; sinh nở; sinh sản; bỏ; đuổi; li dị; giết; hành quyết; xử trảm; vượt; quá; đi ra; vở; tấn; lớp; hồi (kịch, tuồng)",从里面到外面【從裡/裏麵到外麵】,他们每天早上出屋。【他們每天早上齣屋。】,tāmen měitiān zǎoshang chū wū.,Mỗi sáng bọn họ đều ra khỏi phòng.,出 + 去/来,出差【齣差】XUẤT SAI; 出来【齣來】XUẤT LAI; 出去【齣去】XUẤT KHỨ; 付出【付齣】PHÓ XUẤT; 没【沒】MỘT,KHẢM 凵Số nét: 5,5,フ丨丨フ丨,
出来,下去,chūlái,ㄔㄨㄌㄞˊ,xuất lai,3,ra; đi ra; ra đây (từ trong ra ngoài); xuất hiện; nảy ra; bộc lộ; có; hoàn thành,用在动词后，表动作由里向外朝着说话人【用在動詞後，錶動作由裡/裏嚮外朝著説話人】,你出来，我跟你说句话。【你齣來，我跟你説句話。】,nǐ chūlái，wǒ gēn nǐ shuōjùhuà。,Anh ra đây tôi nói chuyện với anh.,Động từ + 出来,想出来【想齣來】TƯỞNG XUẤT LAI; 冒出来【冒齣來】MẠO XUẤT LAI; 拔出来【拔齣來】BẠT XUẤT LAI; 伸出来【伸齣來】THÂN XUẤT LAI; 进去【進去】TIẾN KHỨ,KHẢM 凵Số nét: 5,5,フ丨丨フ丨,
出去,,chūqù,ㄔㄨㄑㄩˋ,xuất khứ,3,ra; ra ngoài; ra ngoài,从里面到外面去【從裡/裏麵到外麵去】,孩子们都出去玩了。【孩子們都齣去玩了。】,háizimen dōu chūqù wánle.,Bọn trẻ đều ra ngoài chơi rồi.,Động từ + 出去,搬出去【搬齣去】BAN XUẤT KHỨ; 盘出去【盤齣去】BÀN XUẤT KHỨ; 进去【進去】TIẾN KHỨ; 进入【進入】TIẾN NHẬP; 跨进【跨進】KHÓA TIẾN,KHẢM 凵Số nét: 5,5,フ丨丨フ丨,
穿,穿越,chuān,ㄔㄨㄢ,xuyên,3,"mặc; đi; mang; đeo (giày, tất); chọc; xuyên; dùi; xỏ; xâu; xiên; xâu chuỗi; qua; đi qua; xuyên qua; lách qua; thấu suốt; rõ ràng; quần áo; giày dép",把衣服、鞋袜等套在身上【把衣服、鞋襪等套在身上】,我们今天穿了运动鞋。【我們今天穿了運動鞋。】,wǒmen jīntiān chuānle yùndòng xié.,Chúng tôi hôm nay mang giày thể thao.,,穿着【穿著】XUYÊN TRƯỚC; 穿越XUYÊN VIỆT; 穿搭XUYÊN ĐÁP; 穿过【穿過】XUYÊN QUÁ; 脱【脫】THOÁT,HUYỆT 穴Số nét: 9,9,丶丶フノ丶一フ丨ノ,
床,,chuáng,ㄔㄨㄤˊ,sàng,3,giường; cái giường; thửa; luống (mạ); lòng(sông); sàn; khung; bệ; cái; chiếc; bộ; tấm,供人躺在上面睡觉的家具【供人躺在上麵睡覺的傢具】,他躺在床上看书。【他躺在床/牀上看書。】,tā tǎng zài chuángshàng kànshū.,Anh ta nằm trên giường đọc sách.,,起床【起床/牀】KHỞI SÀNG; 床单【床/牀單】SÀNG ĐƠN; 床垫【床/牀墊】SÀNG ĐIẾM; 临床【臨床/牀】LÂM SÀNG,NGHIỄM 广Số nét: 7,7,丶一ノ一丨ノ丶,
次,次序,cì,ㄘˋ,thứ,3,lần; lượt; đợt; thứ tự; trọ; chỗ nghỉ trọ; điểm dừng chân; kém; tồi; tệ; xấu; thứ; sau; kế,用于可以重复出现的事情或情况【用於可以重復齣現的事情或情況】,我是第一次来这里。【我是第一次來這裡/裏。】,wǒ shì dì yī cì lái zhèlǐ.,Đây là lần đầu tôi tới nơi đây.,第 + Số từ + 次,其次KỲ THỨ; 下次HẠ THỨ; 层次【層次】TẰNG THỨ; 一次NHẤT THỨ; 好HẢO,KHIẾM 欠Số nét: 6,6,丶一ノフノ丶,
从,姓氏,cóng,ㄘㄨㄥˊ,tòng,3,từ; khởi đầu từ; khởi điểm từ; từ; qua; từ (căn cứ vào hành vi hành động); tòng; theo; đi theo; theo đuổi; tiếp theo; kế theo; nghe theo; thuận theo; vâng lời; tuân theo; tuân lệnh; chiều theo; làm theo; làm; tham gia; lao vào; dấn thân; bắt tay vào; theo; dựa vào; dựa trên (một số nguyên tắc hoặc thái độ); người hầu; tuỳ tùng; môn đệ; môn đồ; người bắt chước; người đi theo; người theo gót; họ Tòng; phụ; tay sai; nhân vật thứ yếu; chưa bao giờ; từ trước tới giờ; từ trước đến nay (phó từ dùng trước từ phủ định); đọc là [zòng],介词，起于，''从...''表示''拿...做起点''【介詞，起於，''從...''錶示''拿...做起點''】,从今天开始我们减肥。【從今天開始我們減肥。】,cóng jīntiān kāishǐ wǒmen jiǎnféi.,Từ hôm nay chúng ta bắt đầu giảm cân.,从 ... ...+ 看来/来看,从来【從來】TÒNG LAI; 从事【從事】TÒNG SỰ; 从而【從而】TÒNG NHI; 从此【從此】TÒNG THỬ; 主CHỦ,NHÂN 人Số nét: 4,4,ノ丶ノ丶,
错,,cuò,ㄘㄨㄛˋ,thác,3,"nghiền; nghiến; mài; xay; giũa; ma sát; chà xát; nhường; tránh; lỡ; bỏ qua; dời; giãn; xê xích; xê dịch (thời gian); mài; đánh bóng (ngọc, ngọc thạch); thếp; nạm; khảm (vàng, bạc); rối; chéo nhau; hỗn tạp; lộn xộn; đan vào nhau; sai lầm; sai sót; lỗi sai; đá mài (để mài ngọc); lộn xộn; bừa bộn; rối loạn; sai; nhầm; không đúng; tồi; tệ; kém; sai; thối; ươn (dùng ở dạng phủ định)",两个物体相对摩擦【兩個物體相對摩擦】,上下牙错得很响。【上下牙錯得很響。】,shàngxià yácuò de hěnxiǎng。,Hai hàm răng nghiến vào nhau kêu rất to.,错 + 车/峰,不错【不錯】BẤT THÁC; 错误【錯誤】THÁC NGỘ; 错过【錯過】THÁC QUÁ; 没错【沒錯】MỘT THÁC; 对【對】ĐỐI,KIM 金Số nét: 13,13,ノ一一一フ一丨丨一丨フ一一,
打,捆,dǎ,ㄉㄚˇ,đả,3,"gõ; đập; đánh; vỡ; bể; đập vỡ; đánh vỡ; đánh; đánh nhau; tiến đánh; quan hệ; giao tiếp; giao thiệp; xây; xây dựng; kiến tạo; làm; chế tạo; đánh; quậy; trộn; khuấy; buộc; bó; đan; bện; in; vẽ; bôi; viết; mở; đào; đục; vén; xách; nâng; giương; phát; bắn; đánh; cấp; nhận (giấy tờ); bỏ đi; vứt bỏ; tỉa bỏ; lấy; múc; bắt; bẫy; đánh; cắt; đốn; hái; chặt; tính; nghĩ ra; định ra; làm; tiến hành; chơi; đánh; biểu thị một số động tác của cơ thể; nêu; đưa ra (phương pháp,phương thức); gọi (xe taxi); vực lại (tinh thần); từ; căn nguyên; nguyên do",用手或器具撞击物体【用手或器具撞擊物體】,工人们正在打桩。【工人們正在打樁。】,gōngrénmen zhèngzài dǎzhuāng.,Công nhân đang đóng cọc.,,打算ĐẢ TOÁN; 打折【打摺】ĐẢ CHIẾT; 打扫【打掃】ĐẢ TẢO; 打扮ĐẢ BAN; 挨【捱】AI,THỦ 手Số nét: 5,5,一丨一一丨,
打车,打的,dǎchē,ㄉㄚˇㄔㄜ,đả xa,3,bắt xe; gọi xe taxi; bắt taxi,乘坐出租车或计程车【乘坐齣租車或計程車】,我去车站打车。【我去車站打車。】,Wǒ qù chēzhàn dǎchē.,Tôi đến bến xe để bắt xe,,打的ĐẢ ĐÍCH; 叫车【叫車】KHIẾU XA,THỦ 手Số nét: 5,5,一丨一一丨,
大,姓,dà,ㄉㄚˋ,đại,3,"to; lớn; rộng; đại; quý (lời nói kính trọng khi nói về người khác); cả; lớn; đầu; trưởng; lớn; cao; nhiều (trình độ, mức độ); bức; nhất (tỏ ý nhấn mạnh); trước hoặc sau cấp kế cận (thời gian); rất; lắm; vô cùng; hay; thường; lắm; cha; bố; phụ thân; chú; bác; họ Đại",体积、面积、数量、力量、强度等超一般 / 比较对象（与 “小” 相对 ）【體積、麵積、數量、力量、強度等超一般比較對象與小相對】,这座房子非常大。【這座房子非常大。】,zhè zuò fángzi fēicháng dà.,Căn nhà này rất lớn.,Chủ ngữ + 很/不/太/特别 + 大,大概ĐẠI KHÁI; 大家【大傢】ĐẠI GIA; 大夫ĐẠI PHU; 大约【大約】ĐẠI ƯỚC; 小TIỂU,ĐẠI 大Số nét: 3,3,一ノ丶,
打电话,,dǎ diànhuà,ㄉㄚˇㄉㄧㄢˋㄏㄨㄚˋ,đả điện thoại,3,gọi điện; gọi điện thoại,用电话与某人讲话比喻暗通消息【用電話與某人講話比喻暗通消息】,我明天上午给你打电话。【我明天上午給你打電話。】,wǒ míngtiān shàngwǔ gěi nǐ dǎ diànhuà.,Sáng mai anh sẽ gọi cho em.,A + 给 + B + 打电话,在打电话【在打電話】TẠI ĐẢ ĐIỆN THOẠI; 通电话【通電話】THÔNG ĐIỆN THOẠI,THỦ 手Số nét: 5,5,一丨一一丨,
打开,,dǎkāi,ㄉㄚˇㄎㄞ,đả khai,3,mở; mở ra; giở ra; kéo ra; mở rộng; tháo gỡ (cục diện),揭开;拉开;解开【揭開;拉開;解開】,他打开了门，走了进来。【他打開了門，走了進來。】,"tā dǎkāile mén, zǒule jìnlái.",Anh mở cửa và bước vào.,,打开音乐【打開音樂】ĐẢ KHAI ÂM LẠC; 打开汊钉【打開汊釘】ĐẢ KHAI XÁ ĐÍNH; 八字打开【八字打開】BÁT TỰ ĐẢ KHAI; 关闭【關閉】QUAN BẾ; 封闭【封閉】PHONG BẾ,THỦ 手Số nét: 5,5,一丨一一丨,
打球,打排球,dǎqiú,ㄉㄚˇㄑㄧㄡˊ,đả cầu,3,chơi bóng; đánh bóng,玩球，作各种球类运动的通称。【玩球，作各種球類運動的通稱。】,玩球，作各种球类运动的通称。【玩球，作各種球類運動的通稱。】,dǎqiú duì shēntǐ hěn hǎo.,Chơi bóng rất tốt cho sức khỏe.,打球 + 打 + 得 + Phó từ + Tính từ,打球线【打球線】ĐẢ CẦU TUYẾN; 双打球场【雙打球場】SONG ĐẢ CẦU TRƯỜNG; 单打球场【單打球場】ĐƠN ĐẢ CẦU TRƯỜNG; 击球【擊球】KÍCH CẦU,THỦ 手Số nét: 5,5,一丨一一丨,
大学,,dàxué,ㄉㄚˋㄒㄩㄝˊ,đại học,3,đại học,实施高等教育的学校的一种，在中国一般指综合大学【實施高等教育的學校的一種，在中國一般指綜閤大學】,他考上了北京大学。【他考上了北京大學。】,tā kǎo shàngle Běijīng dàxué.,Anh ấy thi đỗ Đại học Bắc Kinh.,,大学生【大學生】ĐẠI HỌC SINH.SANH; 大学城【大學城】ĐẠI HỌC THÀNH; 大学部【大學部】ĐẠI HỌC BỘ; 大学士【大學士】ĐẠI HỌC SĨ,ĐẠI 大Số nét: 3,3,一ノ丶,
大学生,大生,dàxuéshēng,ㄉㄚˋㄒㄩㄝˊㄕㄥ,đại học sinh,3,sinh viên; sinh viên đại học,在高等学校读书的学生【在高等學校讀書的學生】,,nǐ shì dàxuéshēng ma?,Cậu là sinh viên à?,,小学生【小學生】TIỂU HỌC SINH.SANH,ĐẠI 大Số nét: 3,3,一ノ丶,
到,姓,dào,ㄉㄠˋ,đáo,3,đi; đến; đi đến; đến; tới; đến; được (dùng làm bổ ngữ chỉ kết quả); đến; chu đáo; ân cần; họ Đáo,去; 往,他们到餐馆吃饭。【他們到餐館吃/喫飯。】,tāmen dào cānguǎn chīfàn.,Họ đến nhà hàng ăn cơm.,Động từ (看/听) + 不/得 + 到,遇到NGỘ ĐÁO; 迟到【遲到】TRÌ ĐÁO; 到底ĐÁO ĐỂ; 到处【到處】ĐÁO XỨ,ĐAO 刀Số nét: 8,8,一フ丶一丨一丨丨,
得到,可得到,dédào,ㄉㄜ˙ㄉㄠˋ,đắc đáo,3,được; đạt được; nhận được,事物为自己所有;获得【事物為自己所有;穫得】,他得到了一份珍贵的礼物。【他得到了一份珍貴的禮物。】,tā dédàole yī fèn zhēnguì de lǐwù.,Anh đã được tặng một món quà quý giá.,得到 + Danh từ (cụ thể),办得到【辦得到】BIỆN ĐẮC ĐÁO; 可得到KHẢ ĐẮC ĐÁO; 付出【付齣】PHÓ XUẤT; 失去THẤT KHỨ; 失落THẤT LẠC,XÍCH 彳Số nét: 11,11,ノノ丨丨フ一一一一丨丶,
的,好的,de,ㄉㄜ˙,đích,3,"của (chỉ sở hữu); miêu tả thêm cho trung tâm ngữ; thay thế cho người hoặc vật đã đề cập trước đó; nhấn mạnh hành động, sự việc đã thực hiện (thời gian, địa điểm, phương thức); diễn tả khẳng định (đứng cuối câu kể); biểu thị rằng ai đó đã đạt được chức vụ hoặc địa vị nhất định; chỉ rõ đối tượng nào đó; vân vân; các loại như; v.v.; kết hợp với động từ phía trước biểu thị ai đó là đối tượng của động tác",表示对中心语的领属关系，对事物的性质、属性、范围等加以限定【錶示對中心語的領屬關繫，對事物的性質、屬性、範圍等加以限定】,我们的老师姓王。【我們的老師姓王。】,wǒmen de lǎoshī xìng wáng.,Thầy giáo của tôi họ Vương.,Động từ/Tính từ + 的 + Động từ/Tính từ,好的HẢO ĐÍCH; 别的【別的】BIỆT ĐÍCH; 是的THỊ ĐÍCH; 真的CHÂN ĐÍCH,BẠCH 白Số nét: 8,8,ノ丨フ一一ノフ丶,
等,等到,děng,ㄉㄥˇ,đẳng,3,đợi; chờ; chờ đợi; đợi đến; đến lúc; chờ tới; đợi tới; vân vân; v.v (liệt kê); được sử dụng để kết thúc danh sách sau khi liệt kê; thường theo sau là tổng số mục trước đó; ngang bằng; ngang nhau; tương đương; thứ; hạng; loại; chủng loại; bậc; loại; hạng; đẳng cấp; thứ tự; cân tiểu ly; họ Đẳng; bọn; lũ; các; chúng; những (dùng sau đại từ nhân xưng hoặc danh từ chỉ người để chỉ số nhiều),等候;等待,请稍等一会儿。【請稍等一會兒。】,qǐngshāoděng yīhùir。,Xin hãy chờ một chút.,等 + Ai/ Cái gì,等待ĐẲNG ĐÃI; 等于【等於】ĐẲNG VU; 稍等SẢO ĐẲNG; 等级【等級】ĐẲNG CẤP,TRÚC 竹Số nét: 12,12,ノ一丶ノ一丶一丨一一丨丶,
第,科第,dì,ㄉㄧˋ,đệ,3,thứ; đệ; thứ tự; thứ hạng; khoa đệ; khoa thi; hạng thi; phủ; dinh; dinh thự (nơi ở của quan lại thời xưa); họ Đệ; cứ; chỉ; chỉ cần; nhưng,用在整数的数词的前边; 表示次序【用在整數的數詞的前邊;錶示次序】,她住在第五层。【她住在第五層。】,tā zhù zài dì wǔ céng.,Cô ấy sống ở tầng 5.,,第一ĐỆ NHẤT; 第二ĐỆ NHỊ; 第七ĐỆ THẤT; 及第CẬP ĐỆ,TRÚC 竹Số nét: 11,11,ノ一丶ノ一丶フ一フ丨ノ,
地,地方,dì,ㄉㄜ˙,địa,3,"đất; trái đất; địa cầu; vỏ quả đất; lục địa; ruộng; đồng; đất đai; ruộng đất; sàn; mặt đất; mặt nền; sàn nhà; lãnh thổ; khu; miền; vùng; khu vực; nơi; nơi chốn; địa điểm; địa vị; ủy ban khu vực; địa phương; nền (làm nổi bật hoa văn, đồ họa); dặm; cây số; lộ trình; đường đi",地球; 地壳【地球;地殼】,地球是我们居住的星球。【地球是我們居住的星球。】,dìqiú shì wǒmen jūzhù de xīngqiú.,Trái Đất là hành tinh chúng ta sinh sống.,,地方ĐỊA PHƯƠNG; 地方ĐỊA PHƯƠNG; 地铁【地鐵】ĐỊA THIẾT; 地图【地圖】ĐỊA ĐỒ; 天THIÊN,THỔ 土Số nét: 6,6,一丨一フ丨フ,
